Timestamp,File_Desc,Mic_Dist_d,Target_Y,Calib_Range,Target_Range,GCC_PHAT,Calculated_X
2026-06-16 15:03:02,20260616_141829,2,0,"(0, 10)","(20, 29)",True,0.6150
2026-06-16 15:07:35,20260616_141829,2,0,"(0, 10)","(20, 29)",True,0.6150
2026-06-16 15:12:05,20260616_141829,2,0,"(0, 10)","(20, 29)",True,0.6150
2026-06-16 15:16:28,20260616_141829,2,0,"(0, 10)","(20, 29)",True,0.6150
2026-06-16 16:12:23,20260616_141546,2,0,"(0, 10)","(20, 29)",True,0.7900
2026-06-16 16:12:42,20260616_141546,2,0,"(0, 10)","(20, 29)",True,0.7900
2026-06-16 16:12:45,20260616_141706,2,0,"(0, 10)","(20, 29)",True,0.6306
2026-06-16 16:12:48,20260616_141829,2,0,"(0, 10)","(20, 29)",True,0.6150
2026-06-16 16:12:51,20260616_142003,2,0,"(0, 10)","(20, 29)",True,0.5839
2026-06-16 16:12:54,20260616_142123,2,0,"(0, 10)","(20, 29)",True,0.5878
2026-06-16 22:59:20,20260616_142003,2,0,"(0, 10)","(20, 29)",True,0.5839
2026-06-18 21:11:54,20260616_142003,2,0,"(0, 10)","(20, 29)",True,0.6267
2026-06-18 21:12:05,20260616_142003,2,0,"(0, 10)","(20, 29)",True,0.6267
