gcc_phat,env,bandpass,normalize,svd,avg_dist
False,False,False,False,False,0.660228
False,False,False,False,True,0.660228
False,False,False,True,False,0.660228
False,False,False,True,True,0.660228
False,False,True,False,False,0.605829
False,False,True,False,True,0.605829
False,False,True,True,False,0.605829
False,False,True,True,True,0.605829
False,True,False,False,False,0.513246
False,True,False,False,True,0.513246
False,True,False,True,False,0.513246
False,True,False,True,True,0.513246
False,True,True,False,False,0.477661
False,True,True,False,True,0.477661
False,True,True,True,False,0.477661
False,True,True,True,True,0.477661
True,False,False,False,False,0.565289
True,False,False,False,True,0.565289
True,False,False,True,False,0.565289
True,False,False,True,True,0.565289
True,False,True,False,False,0.534102
True,False,True,False,True,0.534102
True,False,True,True,False,0.534102
True,False,True,True,True,0.534102
